kood,korpus,tekstikeel,tekstityyp,elukoht,taust,vanus,sugu,emakeel,kodukeel,keeletase,haridus,abivahendid
doc_100636852915_item,cFOoRQekA,eesti,essee,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_100636852916_item,cFOoRQekA,eesti,muu,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_100636852917_item,cFOoRQekA,eesti,essee,idaviru,op,kuni18,naine,vene,vene,B,pohi,ei
doc_1010138197_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_1010138198_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,B,kesk,ei
doc_1010138199_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_1010138200_item,cFOoRQekA,eesti,muu,tallinn,ylop,kuni26,naine,vene,vene,A,kesk,ei
doc_101672866015_item,cFOoRQekA,eesti,referaat,tallinn,ylop,kuni26,naine,vene,vene,C,kesk,jah
doc_104580264035_item,cFqPphvYi,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_104580264036_item,cFqPphvYi,eesti,essee,tallinn,op,kuni18,mees,vene,vene,C1,kesk,jah
doc_104580264037_item,cFqPphvYi,eesti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doc_104580264038_item,cFqPphvYi,eesti,essee,tartu,op,kuni18,naine,vene,vene,C1,pohi,jah
doc_104580264039_item,cFqPphvYi,eesti,amtkiri,tallinn,op,kuni18,mees,vene,vene,B,pohi,jah
doc_104580264040_item,cFqPphvYi,eesti,essee,tallinn,op,kuni18,naine,vene,eesti,C1,pohi,jah
doc_104580264041_item,cFqPphvYi,eesti,amtkiri,idaviru,ylop,kuni18,mees,vene,vene,B,pohi,jah
doc_104580264042_item,cFqPphvYi,eesti,essee,tallinn,op,kuni18,mees,vene,eesti,C,pohi,jah
doc_104580264043_item,cFqPphvYi,eesti,essee,idaviru,ylop,kuni18,mees,vene,vene,B2,pohi,jah
doc_104580264044_item,cFqPphvYi,eesti,essee,idaviru,op,kuni18,mees,vene,vene,C1,pohi,jah
